lat,lon
-7.35209,112.72481
-7.35209,112.72484
-7.3521,112.72488
-7.35216,112.72508
-7.35226,112.72502
-7.35237,112.72494
-7.35243,112.7249
-7.35248,112.72489
-7.35258,112.72486
-7.3526,112.72485
-7.35277,112.72481
-7.35287,112.72478
-7.35292,112.72477
-7.35298,112.72475
-7.35306,112.72472
-7.35318,112.72468
-7.35325,112.72466
-7.35328,112.72465
-7.35363,112.72456
-7.35396,112.72446
-7.35398,112.72445
-7.35432,112.72434
-7.35462,112.72501
-7.35465,112.72508
-7.35488,112.72557
-7.35502,112.72591
-7.35518,112.72629
-7.35527,112.72652
-7.35533,112.72683
-7.35534,112.727
-7.35535,112.72714
-7.35539,112.7275
-7.35544,112.72786
-7.35546,112.728
-7.35558,112.72872
-7.35559,112.72881
-7.35554,112.72891
-7.35552,112.72897
-7.35549,112.72901
-7.35548,112.72903
-7.35546,112.72905
-7.3554,112.72908
-7.35535,112.7291
-7.35502,112.72909
-7.35433,112.72907
-7.35375,112.72906
-7.35288,112.72899
-7.35278,112.72897
-7.35276,112.72897
-7.35276,112.72898
-7.35275,112.72898
-7.35274,112.72898
-7.35272,112.72899
-7.35266,112.72904
-7.35256,112.72903
-7.35205,112.72903
-7.35131,112.7291
-7.35113,112.72911
-7.35089,112.72912
-7.3507,112.72912
-7.34923,112.72917
-7.34903,112.72916
-7.34895,112.72915
-7.34884,112.72913
-7.34872,112.72912
-7.34861,112.72909
-7.34855,112.72908
-7.34852,112.72907
-7.34849,112.72906
-7.3484,112.72901
-7.34835,112.72898
-7.34822,112.72889
-7.34812,112.72882
-7.34809,112.7288
-7.34807,112.72877
-7.34808,112.72865
-7.34806,112.72846
-7.348,112.72826
-7.34793,112.72814
-7.34788,112.72806
-7.34755,112.72772
-7.34744,112.72768
-7.34733,112.72762
-7.34721,112.72756
-7.34711,112.72752
-7.34699,112.7275
-7.34694,112.72749
-7.34691,112.72749
-7.34688,112.72749
-7.34683,112.72749
-7.34675,112.7275
-7.34673,112.7275
-7.34653,112.72754
-7.34644,112.72756
-7.34633,112.7276
-7.34612,112.7277
-7.346,112.72781
-7.3459,112.7279
-7.34583,112.72797
-7.34578,112.72804
-7.34572,112.72814
-7.34568,112.72828
