"Bus","No","Time (abs)","State","ID (hex)","DLC","Data (hex)","ASCII"
"USB-to-CAN V2 compact  CAN-1","18,878","00:00:49.554","  E   "," CF00203","8","CD FF FE FF FF FF FF FF","........"
"USB-to-CAN V2 compact  CAN-1","18,879","00:00:49.555","  E   ","18FEBF0B","8","4F 12 7D 7D 7D 7D FF FF","O.}}}}.."
"USB-to-CAN V2 compact  CAN-1","18,880","00:00:49.565","  E   "," 8FE6E0B","8","56 12 54 12 2C 12 38 12","V.T.,.8."
"USB-to-CAN V2 compact  CAN-1","18,881","00:00:49.565","  E   "," CF00203","8","CD FF FE FF FF FF FF FF","........"
"USB-to-CAN V2 compact  CAN-1","18,882","00:00:49.575","  E   "," CF00203","8","CD FF FE FF FF FF FF FF","........"
"USB-to-CAN V2 compact  CAN-1","18,883","00:00:49.584","  E   "," CF00300","8","FC 03 FF FF FF FF FF FF","........"
"USB-to-CAN V2 compact  CAN-1","18,884","00:00:49.585","  E   "," 8FE6E0B","8","2C 12 5C 12 44 12 2E 12",",.\.D..."
"USB-to-CAN V2 compact  CAN-1","18,885","00:00:49.586","  E   "," CF00203","8","CD FF FE FF FF FF FF FF","........"
"USB-to-CAN V2 compact  CAN-1","18,886","00:00:49.586","  E   ","18FF20EF","8","F1 7D BC 1C 7D EF FF 4B",".}..}..K"
"USB-to-CAN V2 compact  CAN-1","18,887","00:00:49.594","  E   "," CF00203","8","CD FF FE FF FF FF FF FF","........"
"USB-to-CAN V2 compact  CAN-1","18,888","00:00:49.595","  E   ","18F00010","8","FF 7D FF FF FF FF FF 4B",".}.....K"
"USB-to-CAN V2 compact  CAN-1","18,889","00:00:49.595","  E   ","18FED910","8","1F FF FF FF FF FF FF FF","........"
"USB-to-CAN V2 compact  CAN-1","18,890","00:00:49.596","  E   "," CEFEF0B","8","CC FA 7D FF FF FF FF 31","..}....1"
"USB-to-CAN V2 compact  CAN-1","18,891","00:00:49.603","  E   "," C00000B","8","30 FF FF FA FF FF FF 47","0......G"
"USB-to-CAN V2 compact  CAN-1","18,892","00:00:49.604","  E   "," CF00203","8","CD FF FE FF FF FF FF FF","........"
"USB-to-CAN V2 compact  CAN-1","18,893","00:00:49.605","  E   "," 8FE6E0B","8","5E 12 5A 12 3E 12 28 12","^.Z.>.(."
"USB-to-CAN V2 compact  CAN-1","18,894","00:00:49.605","  E   ","18FEBF0B","8","5C 12 7D 7D 7C 7A FF FF","\.}}|z.."
"USB-to-CAN V2 compact  CAN-1","18,895","00:00:49.607","  E   ","18F0010B","8","00 00 F3 FF FF 01 FF F3","........"
"USB-to-CAN V2 compact  CAN-1","18,896","00:00:49.609","  E   ","18FE4F0B","8","FF FF FF FF FF FF FF FF","........"
"USB-to-CAN V2 compact  CAN-1","18,897","00:00:49.611","  E   ","18FEAD0B","8","00 00 00 00 FE FE FF FF","........"
"USB-to-CAN V2 compact  CAN-1","18,898","00:00:49.614","  E   "," CF00203","8","CD FF FE FF FF FF FF FF","........"
"USB-to-CAN V2 compact  CAN-1","18,899","00:00:49.619","  E   ","18FDC40B","8","E0 08 FF F3 FF FF FF FF","........"
"USB-to-CAN V2 compact  CAN-1","18,900","00:00:49.624","  E   "," CF00203","8","CD FF FE FF FF FF FF FF","........"
"USB-to-CAN V2 compact  CAN-1","18,901","00:00:49.625","  E   "," 8FE6E0B","8","40 12 68 12 1A 12 1A 12","@.h....."
"USB-to-CAN V2 compact  CAN-1","18,902","00:00:49.626","  E   "," CFEC1EE","8","A0 84 4B 00 70 11 08 00","..K.p..."
"USB-to-CAN V2 compact  CAN-1","18,903","00:00:49.634","  E   "," CF00400","8","FF 7D 7D 78 39 FF FF FF",".}}x9..."
"USB-to-CAN V2 compact  CAN-1","18,904","00:00:49.635","  E   "," CF00203","8","CD FF FE FF FF FF FF FF","........"
"USB-to-CAN V2 compact  CAN-1","18,905","00:00:49.635","  E   "," CF00300","8","FC 02 FF FF FF FF FF FF","........"
"USB-to-CAN V2 compact  CAN-1","18,906","00:00:49.636","  E   ","18F00117","8","FF FF FF FF FF FF FF F3","........"
"USB-to-CAN V2 compact  CAN-1","18,907","00:00:49.636","  E   ","18F00503","8","FF FF FF 7E FF FF FF FF","...~...."
"USB-to-CAN V2 compact  CAN-1","18,908","00:00:49.637","  E   ","18FE4A03","8","FF FD C2 F0 FF FF FF FF","........"
"USB-to-CAN V2 compact  CAN-1","18,909","00:00:49.638","  E   ","18FEF100","8","F3 63 12 0F FF FF FF FF",".c......"
"USB-to-CAN V2 compact  CAN-1","18,910","00:00:49.638","  E   ","18FF20EF","8","FE 7D BC 1C 7D EF FF 4B",".}..}..K"
"USB-to-CAN V2 compact  CAN-1","18,911","00:00:49.645","  E   "," 8FE6E0B","8","56 12 58 12 08 12 0E 12","V.X....."
"USB-to-CAN V2 compact  CAN-1","18,912","00:00:49.645","  E   "," CF00203","8","CD FF FE FF FF FF FF FF","........"
"USB-to-CAN V2 compact  CAN-1","18,913","00:00:49.646","  E   ","18F00010","8","FF 7D FF FF FF FF FF 4B",".}.....K"
"USB-to-CAN V2 compact  CAN-1","18,914","00:00:49.654","  E   "," CF00203","8","CD FF FE FF FF FF FF FF","........"
"USB-to-CAN V2 compact  CAN-1","18,915","00:00:49.655","  E   ","18FEBF0B","8","54 12 7C 7E 7A 7A FF FF","T.|~zz.."
"USB-to-CAN V2 compact  CAN-1","18,916","00:00:49.664","  E   "," CF00203","8","CD FF FE FF FF FF FF FF","........"
"USB-to-CAN V2 compact  CAN-1","18,917","00:00:49.665","  E   "," 8FE6E0B","8","36 12 5E 12 28 12 10 12","6.^.(..."
"USB-to-CAN V2 compact  CAN-1","18,918","00:00:49.675","  E   "," CF00203","8","CD FF FE FF FF FF FF FF","........"
"USB-to-CAN V2 compact  CAN-1","18,919","00:00:49.685","  E   "," 8FE6E0B","8","60 12 4A 12 50 12 3A 12","`.J.P.:."
"USB-to-CAN V2 compact  CAN-1","18,920","00:00:49.685","  E   "," CF00203","8","CD FF FE FF FF FF FF FF","........"
"USB-to-CAN V2 compact  CAN-1","18,921","00:00:49.686","  E   "," CF00300","8","FC 02 FF FF FF FF FF FF","........"
"USB-to-CAN V2 compact  CAN-1","18,922","00:00:49.686","  E   ","18FF20EF","8","FE 7D B0 1C 7D EF FF 4B",".}..}..K"
"USB-to-CAN V2 compact  CAN-1","18,923","00:00:49.695","  E   "," CF00203","8","CD FF FE FF FF FF FF FF","........"
"USB-to-CAN V2 compact  CAN-1","18,924","00:00:49.695","  E   ","18F00010","8","FF 7D FF FF FF FF FF 4B",".}.....K"
"USB-to-CAN V2 compact  CAN-1","18,925","00:00:49.696","  E   ","18FED910","8","1F FF FF FF FF FF FF FF","........"
"USB-to-CAN V2 compact  CAN-1","18,926","00:00:49.696","  E   "," CEFEF0B","8","CC FA 7D FF FF FF FF 42","..}....B"
